Ryan Giles (web_name=Giles, team=Hull City)
Matty Jacob (web_name=Jacob, team=Hull City)
Cathal McCarthy (web_name=McCarthy, team=Hull City)
Paddy McNair (web_name=McNair, team=Hull City)
Mohamed Belloumi (web_name=Belloumi, team=Hull City)
Liam Millar (web_name=Millar, team=Hull City)
Kieran Dowell (web_name=Dowell, team=Hull City)
Matt Crooks (web_name=Crooks, team=Hull City)
Regan Slater (web_name=Slater, team=Hull City)
Eliot Matazo (web_name=Matazo, team=Hull City)
Abdülkadir Ömür (web_name=Ömür, team=Hull City)
Abu Kamara (web_name=Kamara, team=Hull City)
Óscar Zambrano (web_name=Zambrano, team=Hull City)
Oli McBurnie (web_name=McBurnie, team=Hull City)
David Akintola (web_name=Akintola, team=Hull City)
Darko Gyabi (web_name=Gyabi, team=Hull City)
Enis Destan (web_name=Destan, team=Hull City)
Mason Burstow (web_name=Burstow, team=Hull City)
Joe Gelhardt (web_name=Gelhardt, team=Hull City)
Matt Targett (web_name=Targett, team=Hull City)
Hidemasa Morita (web_name=Morita, team=Hull City)
Konstantinos Tzolakis (web_name=Tzolakis, team=Hull City)
Jens Hjertø-Dahl (web_name=Hjertø-Dahl, team=Hull City)
Elliot Stroud (web_name=Stroud, team=Hull City)
Lucas Herrington (web_name=Herrington, team=Hull City)
Nobel Mendy (web_name=Mendy, team=Hull City)
Lucas Gourna-Douath (web_name=Gourna-Douath, team=Hull City)
Mohamed-Ali Cho (web_name=Cho, team=Hull City)
Christian Walton (web_name=Walton, team=Ipswich Town)
Alex Palmer (web_name=Palmer, team=Ipswich Town)
David Button (web_name=Button, team=Ipswich Town)
Cédric Kipré (web_name=Kipré, team=Ipswich Town)
Dara O'Shea (web_name=O'Shea, team=Ipswich Town)
Leif Davis (web_name=Davis, team=Ipswich Town)
Jacob Greaves (web_name=Greaves, team=Ipswich Town)
Ben Johnson (web_name=Johnson, team=Ipswich Town)
Darnell Furlong (web_name=Furlong, team=Ipswich Town)
Marcelino Núñez (web_name=Núñez, team=Ipswich Town)
Azor Matusiwa (web_name=Matusiwa, team=Ipswich Town)
Wes Burns (web_name=Burns, team=Ipswich Town)
Jack Taylor (web_name=Taylor, team=Ipswich Town)
Jack Clarke (web_name=Clarke, team=Ipswich Town)
Chiedozie Ogbene (web_name=Ogbene, team=Ipswich Town)
Abdul Fatawu (web_name=Fatawu, team=Ipswich Town)
Emersonn Correia da Silva (web_name=Emersonn, team=Ipswich Town)
George Hirst (web_name=Hirst, team=Ipswich Town)
Jaden Philogene (web_name=Philogene, team=Ipswich Town)
Sam Szmodics (web_name=Szmodics, team=Ipswich Town)
Chuba Akpom (web_name=Akpom, team=Ipswich Town)
Sindre Walle Egeli (web_name=Walle Egeli, team=Ipswich Town)
Ali Al-Hamadi (web_name=Al-Hamadi, team=Ipswich Town)
Kasey McAteer (web_name=McAteer, team=Ipswich Town)
Anis Mehmeti (web_name=Mehmeti, team=Ipswich Town)
Kayne van Oevelen (web_name=Van Oevelen, team=Ipswich Town)
Daizen Maeda (web_name=Maeda, team=Ipswich Town)
Kjell Scherpen (web_name=Scherpen, team=Ipswich Town)
Florentino Ibrain Morris Luís (web_name=Florentino, team=Ipswich Town)
Julio Enciso (web_name=Enciso, team=Ipswich Town)
Abdoul Ouattara (web_name=Ouattara, team=Ipswich Town)
Cameron Humphreys (web_name=Humphreys, team=Ipswich Town)
Exequiel Palacios (web_name=Palacios, team=Ipswich Town)
Tarik Muharemović (web_name=Muharemović, team=Leeds)
Jack Harrison (web_name=Harrison, team=Leeds)
Tanaka Ao (web_name=Tanaka, team=Leeds)
Mateo Joseph Fernández-Regatillo (web_name=Mateo Joseph, team=Leeds)
Nico Elvedi (web_name=Elvedi, team=Leeds)
Jayden Lienou (web_name=Lienou, team=Leeds)
Alfie Cresswell (web_name=Cresswell, team=Leeds)
Vitezslav Jaros (web_name=Jaros, team=Liverpool)
Wellity Lucky (web_name=Lucky, team=Liverpool)
Jeremy Jacquet (web_name=Jacquet, team=Liverpool)
Kostas Tsimikas (web_name=Tsimikas, team=Liverpool)
Endo Wataru (web_name=Endo, team=Liverpool)
Victor Munoz (web_name=Munoz, team=Liverpool)
Lewis Koumas (web_name=Koumas, team=Liverpool)
Jayden Danns (web_name=Danns, team=Liverpool)
Ronald Araujo (web_name=Araujo, team=Liverpool)
Vitor de Oliveira Nunes dos Reis (web_name=Vitor Reis, team=Man City)
Claudio Echeverri (web_name=Echeverri, team=Man City)
Kalvin Phillips (web_name=Phillips, team=Man City)
Divine Mukasa (web_name=Mukasa, team=Man City)
Jeremy Monga (web_name=Monga, team=Man City)
Gerónimo Rulli (web_name=Rulli, team=Man City)
Ayyoub Bouaddi (web_name=Bouaddi, team=Man City)
Ryan McAidoo (web_name=McAidoo, team=Man City)
Kaden Braithwaite (web_name=Braithwaite, team=Man City)
Andrey Nascimento dos Santos (web_name=Andrey Santos, team=Man Utd)
Harry Amass (web_name=Amass, team=Man Utd)
Marcus Rashford (web_name=Rashford, team=Man Utd)
Toby Collyer (web_name=Collyer, team=Man Utd)
Ewen Jaouen (web_name=Jaouen, team=Newcastle)
Bazoumana Touré (web_name=Touré, team=Newcastle)
Sean Steur (web_name=Steur, team=Newcastle)
Aladji Bamba (web_name=Bamba, team=Newcastle)
Lukás Hornícek (web_name=Horníček, team=Newcastle)
Amar Dedic (web_name=Dedić, team=Newcastle)
Omar Richards (web_name=O.Richards, team=Nott'm Forest)
Tyler Bindon (web_name=Bindon, team=Nott'm Forest)
Arnaud Kalimuendo (web_name=Kalimuendo, team=Nott'm Forest)
Xaver Schlager (web_name=Schlager, team=Nott'm Forest)
Ousmane Diomande (web_name=Diomande, team=Nott'm Forest)
Steven Benda (web_name=Benda, team=Nott'm Forest)
Marcos Senesi Barón (web_name=Senesi, team=Spurs)
Ashley Phillips (web_name=Phillips, team=Spurs)
Mikey Moore (web_name=Moore, team=Spurs)
Mateus Fernandes (web_name=Fernandes, team=Spurs)
Dominic Solanke-Mitchell (web_name=Solanke, team=Spurs)
Dane Scarlett (web_name=Scarlett, team=Spurs)
Luca Williams-Barnett (web_name=Williams-Barnett, team=Spurs)
Anthony Patterson (web_name=Patterson, team=Sunderland)
Jenson Seelt (web_name=Seelt, team=Sunderland)
Leo Fuhr Hjelde (web_name=Hjelde, team=Sunderland)
Arthur Masuaku (web_name=Masuaku, team=Sunderland)
Thomas Meunier (web_name=Meunier, team=Sunderland)
Simon Adingra (web_name=Adingra, team=Sunderland)
Dayann Méthalie (web_name=Methalie, team=Sunderland)
Jules Ahoka (web_name=Ahoka, team=Sunderland)
